pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P13,6,robotic,repeat,11,7.0,6.0,7.0,7.0,4.0,2.0,1.0,6.0,10.0,2.6049403612586386,5.0,1.5,10.0,5.428571428571429,7.0
P13,7,clone,repeat,2,7.0,6.0,1.0,5.0,1.0,2.0,2.0,1.0,8.0,2.559994419636775,3.2,4.5,8.0,3.2857142857142856,5.0
P13,8,clone,enhance,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7774602993176543,1.0,7.0,1.0,1.0,1.0
P13,9,clone,counter,6,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1213203435596424,1.0,4.0,1.0,1.8571428571428572,1.0
P13,10,clone,repeat,8,1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,3.0,2.2320714274285347,1.0,4.0,3.0,1.8571428571428572,1.0
P13,11,clone,enhance,10,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,2.712405363721075,1.4,7.0,7.0,1.2857142857142858,3.0
P13,12,clone,counter,12,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.7222627143085005,1.2,7.0,1.0,1.1428571428571428,2.0
P14,1,robotic,counter,2,4.0,2.0,1.0,7.0,1.0,7.0,1.0,1.0,10.0,2.866057521105554,2.8,6.5,10.0,2.4285714285714284,7.0
P14,2,robotic,enhance,4,6.0,3.0,1.0,4.0,2.0,6.0,2.0,1.0,10.0,2.2320714274285347,3.0,6.0,10.0,2.7142857142857144,4.0
P14,3,robotic,repeat,6,7.0,3.0,2.0,7.0,2.0,6.0,2.0,1.0,10.0,2.449489742783178,3.8,5.5,10.0,3.4285714285714284,7.0
P14,4,robotic,counter,8,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.712405363721075,1.0,7.0,3.0,1.0,1.0
P14,5,robotic,enhance,10,5.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,10.0,2.5495097567963922,2.8,7.0,10.0,2.2857142857142856,5.0
P14,6,robotic,repeat,12,7.0,1.0,5.0,7.0,5.0,7.0,1.0,1.0,10.0,2.712405363721075,4.2,5.0,10.0,3.857142857142857,7.0
P14,7,clone,repeat,1,7.0,6.0,5.0,7.0,7.0,7.0,1.0,5.0,10.0,2.5319388392523003,5.4,2.5,10.0,5.428571428571429,7.0
P14,8,clone,enhance,3,5.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,6.0,1.7677669529663689,3.0,5.0,6.0,3.0,5.0
P14,9,clone,counter,5,5.0,3.0,1.0,4.0,2.0,6.0,1.0,2.0,8.0,2.138089935299395,2.8,6.0,8.0,2.5714285714285716,4.0
P14,10,clone,repeat,7,7.0,3.0,5.0,7.0,2.0,6.0,1.0,4.0,10.0,2.2638462845343543,4.2,4.0,10.0,4.142857142857143,7.0
P14,11,clone,enhance,9,5.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,2.2038926600773587,3.0,7.0,2.0,2.4285714285714284,4.0
P14,12,clone,counter,11,4.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,2.32992949004287,2.2,6.5,2.0,2.0,4.0
P15,1,robotic,repeat,3,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,0.7440238091428449,4.8,3.5,7.0,4.714285714285714,5.0
P15,2,robotic,counter,5,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,0.7559289460184544,3.6,4.5,4.0,3.5714285714285716,4.0
P15,3,robotic,enhance,7,3.0,3.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,1.1259916264596033,4.2,3.5,4.0,4.285714285714286,4.0
P15,4,robotic,repeat,9,5.0,3.0,5.0,6.0,6.0,3.0,5.0,7.0,9.0,1.4142135623730951,5.8,4.0,9.0,5.285714285714286,6.0
P15,5,robotic,counter,11,3.0,3.0,5.0,2.0,5.0,7.0,5.0,6.0,5.0,1.6903085094570331,4.2,4.0,5.0,4.142857142857143,2.0
P15,6,robotic,enhance,1,5.0,2.0,6.0,5.0,5.0,2.0,5.0,6.0,3.0,1.6035674514745464,5.2,4.0,3.0,4.857142857142857,5.0
P15,7,clone,enhance,4,6.0,5.0,6.0,5.0,5.0,2.0,5.0,6.0,6.0,1.6690459207925603,5.4,2.5,6.0,5.428571428571429,5.0
P15,8,clone,counter,6,6.0,6.0,5.0,5.0,6.0,1.0,4.0,1.0,3.0,2.0701966780270626,4.4,2.5,3.0,4.714285714285714,5.0
P15,9,clone,repeat,8,7.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,9.0,1.6420805617960927,5.6,2.5,9.0,5.571428571428571,6.0
P15,10,clone,enhance,10,3.0,3.0,3.0,6.0,5.0,1.0,3.0,4.0,4.0,1.6035674514745464,4.2,5.0,4.0,3.857142857142857,6.0
P15,11,clone,counter,12,4.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,1.4577379737113252,4.4,4.0,4.0,4.285714285714286,5.0
